,train,train,test,test
,accuracy,f1score,accuracy,f1score
SVC {'kernel': 'rbf'},0.8757142857142857,0.8608,0.79,0.7341772151898734
"MLPClassifier {'hidden_layer_sizes': (256,)}",1.0,1.0,0.76,0.7410071942446043
SVC {'kernel': 'linear'},0.8914285714285715,0.8858858858858859,0.7533333333333333,0.7299270072992701
"MLPClassifier {'hidden_layer_sizes': (128, 64, 64, 32)}",1.0,1.0,0.75,0.734982332155477
KNeighborsClassifier {'n_neighbors': 8},0.7714285714285715,0.7132616487455197,0.75,0.6606334841628959
"MLPClassifier {'hidden_layer_sizes': (128,)}",1.0,1.0,0.7466666666666667,0.7205882352941178
"MLPClassifier {'hidden_layer_sizes': (64,)}",1.0,1.0,0.7466666666666667,0.7226277372262775
"MLPClassifier {'hidden_layer_sizes': (32, 32)}",1.0,1.0,0.7433333333333333,0.7335640138408305
"LogisticRegression {'max_iter': 1000, 'solver': 'liblinear'}",0.8757142857142857,0.8714918759231906,0.74,0.7234042553191489
KNeighborsClassifier {'n_neighbors': 4},0.7942857142857143,0.7508650519031143,0.74,0.6548672566371682
"LogisticRegression {'max_iter': 1000, 'solver': 'saga'}",0.8728571428571429,0.8685376661742984,0.74,0.7234042553191489
"LogisticRegression {'max_iter': 1000, 'solver': 'lbfgs'}",0.8714285714285714,0.8676470588235294,0.7366666666666667,0.7208480565371026
KNeighborsClassifier {'n_neighbors': 16},0.7728571428571429,0.7145421903052065,0.7366666666666667,0.639269406392694
"MLPClassifier {'hidden_layer_sizes': (32, 32, 32)}",1.0,1.0,0.7333333333333333,0.7142857142857143
"MLPClassifier {'hidden_layer_sizes': (64, 32, 16)}",1.0,1.0,0.7166666666666667,0.7079037800687286
KNeighborsClassifier {'n_neighbors': 2},0.8157142857142857,0.77720207253886,0.71,0.6027397260273972
"MLPClassifier {'hidden_layer_sizes': (16, 16)}",1.0,1.0,0.71,0.6968641114982578
"MLPClassifier {'hidden_layer_sizes': (16, 32, 16)}",1.0,1.0,0.7066666666666667,0.6944444444444443
"MLPClassifier {'hidden_layer_sizes': (32, 64, 64, 32)}",1.0,1.0,0.7,0.6896551724137931
"MLPClassifier {'hidden_layer_sizes': (16, 32, 32, 16)}",1.0,1.0,0.7,0.6959459459459459
DecisionTreeClassifier {'criterion': 'log_loss'},1.0,1.0,0.6933333333333334,0.6870748299319729
LinearDiscriminantAnalysis {},0.8428571428571429,0.8286604361370716,0.6633333333333333,0.6245353159851301
DecisionTreeClassifier {'criterion': 'entropy'},1.0,1.0,0.66,0.6599999999999999
GaussianNB {},0.6385714285714286,0.4605543710021322,0.65,0.4502617801047121
DecisionTreeClassifier {'criterion': 'gini'},1.0,1.0,0.6466666666666666,0.6558441558441558
SVC {'kernel': 'poly'},0.6157142857142858,0.38724373576309795,0.6066666666666667,0.3218390804597701
"PassiveAggressiveClassifier {'max_iter': 1000, 'C': 1.0}",0.75,0.780426599749059,0.5866666666666667,0.6265060240963856
